localName,label,skos_inScheme,controlled_value_string,definition,usage,notes,examples,type
r,Rank Concept Scheme,r,,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
r001,domain,r,domain,,,,,http://www.w3.org/2004/02/skos/core#Concept
r002,kingdom,r,kingdom,,,,,http://www.w3.org/2004/02/skos/core#Concept
r003,subkingdom,r,subkingdom,,,,,http://www.w3.org/2004/02/skos/core#Concept
r004,superphylum,r,superphylum,,,,,http://www.w3.org/2004/02/skos/core#Concept
r005,phylum,r,phylum,,,,,http://www.w3.org/2004/02/skos/core#Concept
r006,subphylum,r,subphylum,,,,,http://www.w3.org/2004/02/skos/core#Concept
r007,superclass,r,superclass,,,,,http://www.w3.org/2004/02/skos/core#Concept
r008,class,r,class,,,,,http://www.w3.org/2004/02/skos/core#Concept
r009,subclass,r,subclass,,,,,http://www.w3.org/2004/02/skos/core#Concept
r010,supercohort,r,supercohort,This concept has been deprecated! (Super)cohorte in the zoological sense  placed between superorder and subclass,,,,http://www.w3.org/2004/02/skos/core#Concept
r011,cohort,r,cohort,This concept has been deprecated! Cohorte in the zoological sense placed  between superorder and subclass,,,,http://www.w3.org/2004/02/skos/core#Concept
r012,subcohort,r,subcohort,This concept has been deprecated! (Sub)cohorte in the zoological sense  placed between superorder and subclass,,,,http://www.w3.org/2004/02/skos/core#Concept
r013,superorder,r,superorder,,,,,http://www.w3.org/2004/02/skos/core#Concept
r014,order,r,order,,,,,http://www.w3.org/2004/02/skos/core#Concept
r015,suborder,r,suborder,,,,,http://www.w3.org/2004/02/skos/core#Concept
r016,infraorder,r,infraorder,,,,,http://www.w3.org/2004/02/skos/core#Concept
r017,superfamily,r,superfamily,,,,,http://www.w3.org/2004/02/skos/core#Concept
r018,family,r,family,,,,,http://www.w3.org/2004/02/skos/core#Concept
r019,subfamily,r,subfamily,,,,,http://www.w3.org/2004/02/skos/core#Concept
r020,tribe,r,tribe,,,,,http://www.w3.org/2004/02/skos/core#Concept
r021,subtribe,r,subtribe,,,,,http://www.w3.org/2004/02/skos/core#Concept
r022,supragenericname,r,supragenericname,Used for any other unspecific rank above genera.,,,,http://www.w3.org/2004/02/skos/core#Concept
r023,genus,r,genus,,,,,http://www.w3.org/2004/02/skos/core#Concept
r024,subgenus,r,subgenus,,,,,http://www.w3.org/2004/02/skos/core#Concept
r025,section,r,section,"Section within a genus. In Zoology a section sometimes refers to a group  above family level, this is NOT meant",,,,http://www.w3.org/2004/02/skos/core#Concept
r026,subsection,r,subsection,Subsection within a genus,,,,http://www.w3.org/2004/02/skos/core#Concept
r027,series,r,series,Series within a genus,,,,http://www.w3.org/2004/02/skos/core#Concept
r028,subseries,r,subseries,Subseries within a genus,,,,http://www.w3.org/2004/02/skos/core#Concept
r029,speciesAggregate,r,speciesAggregate,"A loosely defined group of species. Zoology: nullAggregate - a group of  species, other than a subgenus, within a genus. An aggregate may be denoted by a group name interpolated in parentheses.null -- The Berlin/MoreTax model  notes:null[these] are not taxonomic ranks but cirumscriptions because on  the one hand they are necessary for the concatenation of the fullname and on  the other hand they are necessary for distinguishing the aggregate or  species group from the microspecies.null Compare subspecific aggregate for  a group of subspecies within a species!",,,,http://www.w3.org/2004/02/skos/core#Concept
r030,infragenericname,r,infragenericname,Used for any other unspecific rank below genera and above species.,,,,http://www.w3.org/2004/02/skos/core#Concept
r031,species,r,species,,,,,http://www.w3.org/2004/02/skos/core#Concept
r032,subspecificAggregate,r,subspecificAggregate,A loosely defined group of subspecies. Zoology:'Aggregate - a group of  subspecies within a species. An aggregate may be denoted by a group name  interpolated in parentheses.,,,,http://www.w3.org/2004/02/skos/core#Concept
r033,infraspecificname,r,infraspecificname,Used for any other unspecific rank below genera and above species.,,,,http://www.w3.org/2004/02/skos/core#Concept
r034,subspecies,r,subspecies,,,,,http://www.w3.org/2004/02/skos/core#Concept
r035,infrasubspecificname,r,infrasubspecificname,Used also for any other unspecific rank below subspecies.,,,,http://www.w3.org/2004/02/skos/core#Concept
r036,variety,r,variety,,,,,http://www.w3.org/2004/02/skos/core#Concept
r037,subvariety,r,subvariety,,,,,http://www.w3.org/2004/02/skos/core#Concept
r038,form,r,form,,,,,http://www.w3.org/2004/02/skos/core#Concept
r039,subform,r,subform,,,,,http://www.w3.org/2004/02/skos/core#Concept
r040,pathovar,r,pathovar,Microbial rank based on pathogenic reactions in one or more hosts. For  recommendations on designating pathovars and use of designations when  reviving names see Dye et al. (1980) Standards for naming pathovars of  phytopathogenic bacteria and a list of pathovar names and pathotype strains.  Rev. Plant Pathol. 59:153\u2013168. Example: Pseudomonas syringae pv.  lachrymans.,,,,http://www.w3.org/2004/02/skos/core#Concept
r041,biovar,r,biovar,Microbial rank based on biochemical or physiological properties.,,,Francisella tularensis biovar tularensis.,http://www.w3.org/2004/02/skos/core#Concept
r042,chemovar,r,chemovar,Microbial rank based on production or amount of production of a particular  chemical.,,,Vibrio alginolyticus chemovar iophagus,http://www.w3.org/2004/02/skos/core#Concept
r043,morphovar,r,morphovar,Microbial rank based on morphological characterislics.,,,Acinetobacter junii morphovar I,http://www.w3.org/2004/02/skos/core#Concept
r044,phagovar,r,phagovar,Microbial infrasubspecific rank based on reactions to bacteriophage.,,,Staphyloccocus aureus phagovar 42D,http://www.w3.org/2004/02/skos/core#Concept
r045,serovar,r,serovar,Microbial infrasubspecific rank based on antigenic characteristics.,,,Salmonella enterica serovar Dublin,http://www.w3.org/2004/02/skos/core#Concept
r046,chemoform,r,chemoform,Microbial infrasubspecific rank based on chemical constitution.,,,Thymus vulgaris ct. geraniol,http://www.w3.org/2004/02/skos/core#Concept
r047,formaspecialis,r,formaspecialis,"Microbial infrasubspecific rank. A parasitic, symbiotic, or commensal microorganism distinguished primarily by adaptation to a particular host or  habitat. Named preferably by the scientific name of the host in the  genitive.",,,Puccinia graminis f. sp. avenae,http://www.w3.org/2004/02/skos/core#Concept
r048,cultivarGroup,r,cultivarGroup,cultivar-group,,,,http://www.w3.org/2004/02/skos/core#Concept
r049,cultivar,r,cultivar,"The epithet is usually output in single quotes and may contain multiple  words, see ICBN §28.",,,"Taxus baccata 'Variegata', Juniperus ×pfitzeriana 'Wilhelm Pfitzer';  Magnolia 'Elizabeth' (= a hybrid, no species epithet).",http://www.w3.org/2004/02/skos/core#Concept
r050,strain,r,strain,"Bacteria species may be classified by strains (for example Escherichia coli O157:H7, a strain that can cause food poisoning).",,,,http://www.w3.org/2004/02/skos/core#Concept
r051,informal,r,informal,,,,,http://www.w3.org/2004/02/skos/core#Concept
r052,unranked,r,unranked,,,,,http://www.w3.org/2004/02/skos/core#Concept
