localName,label,skos_inScheme,controlled_value_string,definition,usage,notes,examples,type
t,Type of Type Concept Scheme,t,,,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme
t001,allolectotype,t,allolectotype,A paralectotype specimen that is the opposite sex of the lectotype. The  term is not regulated by the ICZN. [Zoo.],,,,http://www.w3.org/2004/02/skos/core#Concept
t002,alloneotype,t,alloneotype,A paraneotype specimen that is the opposite sex of the neotype. The term is  not regulated by the ICZN. [Zoo.],,,,http://www.w3.org/2004/02/skos/core#Concept
t003,allotype,t,allotype,A paratype specimen designated from the type series by the original author  that is the opposite sex of the holotype. The term is not regulated by the  ICZN. [Zoo.],,,,http://www.w3.org/2004/02/skos/core#Concept
t004,cotype,t,cotype,A deprecated term no longer recognized in the ICZN; formerly used for  either syntype or paratype [see ICZN Recommendation 73E]. [Zoo.],,,,http://www.w3.org/2004/02/skos/core#Concept
t005,epitype,t,epitype,"An epitype is a specimen or illustration selected to serve as an  interpretative type when any kind of holotype, lectotype, etc. is  demonstrably ambiguous and cannot be critically identified for purposes of  the precise application of the name of a taxon (see Art. ICBN 9.7, 9.18).  An epitype supplements, rather than replaces existing types. [Bot./Bio.]",,,,http://www.w3.org/2004/02/skos/core#Concept
t006,exepitype,t,exepitype,A strain or cultivation derived from epitype material. Ex-types are not  regulated by the botanical or zoological code. [Bot.],,,,http://www.w3.org/2004/02/skos/core#Concept
t007,exholotype,t,exholotype,A strain or cultivation derived from holotype material. Ex-types are not  regulated by the botanical or zoological code. [Zoo./Bot.],,,,http://www.w3.org/2004/02/skos/core#Concept
t008,exisotype,t,exisotype,A strain or cultivation derived from isotype material. Ex-types are not regulated by the botanical or zoological code. [Zoo./Bot.],,,,http://www.w3.org/2004/02/skos/core#Concept
t009,exlectotype,t,exlectotype,A strain or cultivation derived from lectotype material. Ex-types are not  regulated by the botanical or zoological code. [Zoo./Bot.],,,,http://www.w3.org/2004/02/skos/core#Concept
t010,exneotype,t,exneotype,A strain or cultivation derived from neotype material. Ex-types are not  regulated by the botanical or zoological code. [Zoo./Bot.],,,,http://www.w3.org/2004/02/skos/core#Concept
t011,exparatype,t,exparatype,A strain or cultivation derived from paratype material. Ex-types are not  regulated by the botanical or zoological code. [Zoo./Bot.],,,,http://www.w3.org/2004/02/skos/core#Concept
t012,exsyntype,t,exsyntype,A strain or cultivation derived from neotype material. Ex-types  are not  regulated by the botanical or zoological code. [Zoo./Bot.],,,,http://www.w3.org/2004/02/skos/core#Concept
t013,extype,t,extype,A strain or cultivation derived from some kind of type material. Ex-types  are not regulated by the botanical or zoological code. [Zoo./Bot.],,,,http://www.w3.org/2004/02/skos/core#Concept
t014,hapantotype,t,hapantotype,"One or more preparations of directly related individuals representing distinct stages in the life cycle, which together form the type in an extant  species of protistan [ICZN Article 72.5.4]. A hapantotype, while a series of  individuals, is a holotype that must not be restricted by lectotype  selection. If an hapantotype is found to contain individuals of more than  one species, however, components may be excluded until it contains  individuals of only one species [ICZN Article 73.3.2]. [Zoo.]",,,,http://www.w3.org/2004/02/skos/core#Concept
t015,holotype,t,holotype,The one specimen or other element used or designated by the original author  at the time of publication of the original description as the nomenclatural type of a species or infraspecific taxon. A holotype may be 'explicit' if  it is clearly stated in the originating publication or 'implicit' if it is  the single specimen proved to have been in the hands of the originating  author when the description was published. [Zoo./Bot./Bio.],,,,http://www.w3.org/2004/02/skos/core#Concept
t016,iconotype,t,iconotype,"A drawing or photograph (also called nullphototypenull) of a type specimen. Note: the term nulliconotypenull is not used in the ICBN, but implicit in,  e.g., ICBN Art. 7 and 38. [Zoo./Bot.]",,,,http://www.w3.org/2004/02/skos/core#Concept
t017,isolectotype,t,isolectotype,"A duplicate of a lectotype, compare lectotype. [Bot.]",,,,http://www.w3.org/2004/02/skos/core#Concept
t018,isoneotype,t,isoneotype,"A duplicate of a neotype, compare neotype. [Bot.]",,,,http://www.w3.org/2004/02/skos/core#Concept
t019,isoparatype,t,isoparatype,"A duplicate of a paratype, compare paratype. [Bot.]",,,,http://www.w3.org/2004/02/skos/core#Concept
t020,isosyntype,t,isosyntype,"A duplicate of a syntype, compare isotype = duplicate of holotype. [Bot.]",,,,http://www.w3.org/2004/02/skos/core#Concept
t021,isotype,t,isotype,"An isotype is any duplicate of the holotype (i. e. part of a single  gathering made by a collector at one time, from which the holotype was  derived); it is always a specimen (ICBN Art. 7). [Bot.]",,,,http://www.w3.org/2004/02/skos/core#Concept
t022,lectotype,t,lectotype,"A specimen or other element designated subsequent to the publication of the  original description from the original material (syntypes or paratypes) to  serve as nomenclatural type. Lectotype designation can occur only where no holotype was designated at the time of publication or if it is missing  (ICBN Art. 7, ICZN Art. 74). [Zoo./Bot.] -- Note: the BioCode defines  lectotype as selection from holotype material in cases where the holotype  material contains more than ne taxon [Bio.].",,,,http://www.w3.org/2004/02/skos/core#Concept
t023,neotype,t,neotype,"A specimen designated as nomenclatural type subsequent to the publication of the original description in cases where the original holotype, lectotype,  all paratypes and syntypes are lost or destroyed, or suppressed by the  (botanical or zoological) commission on nomenclature. In zoology also  called 'Standard specimen' or 'Representative specimen'. [Zoo./Bot./Bio.]",,,,http://www.w3.org/2004/02/skos/core#Concept
t024,notatype,t,notatype,For specimens erroneously labelled as types an explicit negative statement  may be desirable. [General],,,,http://www.w3.org/2004/02/skos/core#Concept
t025,originalmaterial,t,originalmaterial,"'type-suspicious' material. The term is in accordance with the Botanical  Code, where it is used for material that has been at the disposal of an  author describing a new species, and is distinct from a type only in the  fact that either the Type has not been officially assigned yet, or that the  specific material has not been explicitly cited in the typification process  (i.e. it was part of the swarm of specimens examined in the process, but  not labelled as type itself).",,,,http://www.w3.org/2004/02/skos/core#Concept
t026,paralectotype,t,paralectotype,All of the specimens in the syntype series of a species or infraspecific taxon other than the lectotype itself. Also called 'lectoparatype'. [Zoo.],,,,http://www.w3.org/2004/02/skos/core#Concept
t027,paraneotype,t,paraneotype,All of the specimens in the syntype series of a species or infraspecific taxon other than the neotype itself. Also called 'neoparatype'. [Zoo.],,,,http://www.w3.org/2004/02/skos/core#Concept
t028,paratype,t,paratype,"All of the specimens in the type series of a species or infraspecific taxon  other than the holotype (and, in botany, isotypes). Paratypes must have  been at the disposition of the author at the time when the original  description was created and must have been designated and indicated in the  publication. Judgment must be exercised on paratype status, for only rarely  are specimens explicitly cited as paratypes, but usually as 'specimens  examined', 'other material seen', etc. [Zoo./Bot.]",,,,http://www.w3.org/2004/02/skos/core#Concept
