subjectTaxonConceptID,mappingRelation,objectTaxonConceptID,sourceID,creator,created
_:tc33,isCongruentWith,_:tc32,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc33,isCongruentWith,_:tc34,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc33,isCongruentWith,_:tc31,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,includes,_:tc12,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,includes,_:tc15,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,isIncludedIn,_:tc35,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,includes,_:tc36,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,includes,_:tc37,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,includes,_:tc38,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,includes,_:tc40,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,includes,_:tc14,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,isIncludedIn,_:tc1,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,includes,_:tc2,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,includes,_:tc3,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,includes,_:tc4,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,includes,_:tc5,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc20,includes,_:tc11,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc21,isCongruentWith,_:tc15,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc21,isIncludedIn,_:tc35,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc21,isCongruentWith,_:tc38,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc21,isIncludedIn,_:tc1,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc21,isCongruentWith,_:tc11,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc22,isCongruentWith,_:tc14,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc22,isIncludedIn,_:tc35,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc22,isCongruentWith,_:tc37,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc22,isIncludedIn,_:tc1,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc22,includes,_:tc3,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc22,includes,_:tc7,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc23,isCongruentWith,_:tc12,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc23,isIncludedIn,_:tc35,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc23,includes,_:tc36,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc23,includes,_:tc40,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc23,isIncludedIn,_:tc1,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc23,includes,_:tc2,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc23,includes,_:tc4,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc23,includes,_:tc5,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc24,isCongruentWith,_:tc13,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc24,isIncludedIn,_:tc35,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc24,isCongruentWith,_:tc39,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc24,isCongruentWith,_:tc0,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc25,includes,_:tc16,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc25,includes,_:tc17,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc25,isIncludedIn,_:tc35,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc25,includes,_:tc41,,https://orcid.org/0000-0003-2224-6821,2025-09-01
_:tc25,includes,_:tc42,,https://orcid.org/0000-0003-2224-6821,2025-09-01
