typifiedNameID,typeOfType,typeNameID,typeSpecimenID,typePublishedInID,sourceID
https://ipni.org/n/3898-1,,https://ipni.org/n/106227-1,,,https://doi/org/10.2307/3668252
_:b6,,https://ipni.org/n/106227-1,,,https://doi/org/10.2307/3668252
https://ipni.org/n/77215303-1,,https://ipni.org/n/104820-1,,,https://doi/org/10.2307/3668252
https://ipni.org/n/104440-1,holotype,,_:ts000001,,https://doi/org/10.2307/3668252
https://ipni.org/n/104440-1,isotype,,_:ts000002,,https://doi/org/10.2307/3668252
https://ipni.org/n/77283357-1,holotype,,_:ts000003,,https://doi/org/10.2307/3668252
https://ipni.org/n/901574-1,holotype,,_:ts000004,,https://doi/org/10.2307/3668252
https://ipni.org/n/901574-1,isotype,,_:ts000005,,https://doi/org/10.2307/3668252
https://ipni.org/n/105197-1,holotype,,_:ts000006,,https://doi/org/10.2307/3668252
https://ipni.org/n/105331-1,lectotype,,_:ts000007,,https://doi/org/10.2307/3668252
https://ipni.org/n/105331-1,isolectotype,,_:ts000008,,https://doi/org/10.2307/3668252
https://ipni.org/n/105331-1,isolectotype,,_:ts000009,,https://doi/org/10.2307/3668252
https://ipni.org/n/105331-1,isolectotype,,_:ts000010,,https://doi/org/10.2307/3668252
https://ipni.org/n/105331-1,syntype,,_:ts000011,,https://doi/org/10.2307/3668252
https://ipni.org/n/105331-1,syntype,,_:ts000012,,https://doi/org/10.2307/3668252
https://ipni.org/n/104421-1,holotype,,_:ts000013,,https://doi/org/10.2307/3668252
https://ipni.org/n/104820-1,holotype,,_:ts000014,,https://doi/org/10.2307/3668252
https://ipni.org/n/105026-1,lectotype,,_:ts000015,,https://doi/org/10.2307/3668252
https://ipni.org/n/105026-1,isolectotype,,_:ts000016,,https://doi/org/10.2307/3668252
https://ipni.org/n/105026-1,syntype,,_:ts000017,,https://doi/org/10.2307/3668252
https://ipni.org/n/105026-1,syntype,,_:ts000018,,https://doi/org/10.2307/3668252
https://ipni.org/n/105026-1,syntype,,_:ts000019,,https://doi/org/10.2307/3668252
https://ipni.org/n/104451-1,holotype,,_:ts000020,,https://doi/org/10.2307/3668252
https://ipni.org/n/104983-1,holotype,,_:ts000021,,https://doi/org/10.2307/3668252
https://ipni.org/n/105419-1,holotype,,_:ts000022,,https://doi/org/10.2307/3668252
https://ipni.org/n/105880-1,holotype,,_:ts000023,,https://doi/org/10.2307/3668252
https://ipni.org/n/105716-1,lectotype,,_:ts000024,,https://doi/org/10.2307/3668252
https://ipni.org/n/105716-1,syntype,,_:ts000025,,https://doi/org/10.2307/3668252
https://ipni.org/n/105665-1,lectotype,,_:ts000026,,https://doi/org/10.2307/3668252
https://ipni.org/n/105665-1,isosyntype,,_:ts000027,,https://doi/org/10.2307/3668252
https://ipni.org/n/105665-1,syntype,,_:ts000028,,https://doi/org/10.2307/3668252
https://ipni.org/n/105665-1,syntype,,_:ts000029,,https://doi/org/10.2307/3668252
https://ipni.org/n/105665-1,syntype,,_:ts000030,,https://doi/org/10.2307/3668252
https://ipni.org/n/105665-1,syntype,,_:ts000031,,https://doi/org/10.2307/3668252
https://ipni.org/n/105529-1,holotype,,_:ts000032,,https://doi/org/10.2307/3668252
https://ipni.org/n/105529-1,isotype,,_:ts000033,,https://doi/org/10.2307/3668252
https://ipni.org/n/105529-1,isotype,,_:ts000034,,https://doi/org/10.2307/3668252
https://ipni.org/n/105529-1,paratype,,_:ts000035,,https://doi/org/10.2307/3668252
https://ipni.org/n/105529-1,paratype,,_:ts000036,,https://doi/org/10.2307/3668252
https://ipni.org/n/106227-1,isotype,,_:ts000037,,https://doi/org/10.2307/3668252
https://ipni.org/n/106227-1,holotype,,_:ts000038,,https://doi/org/10.2307/3668252
https://ipni.org/n/104198-1,holotype,,_:ts000039,,https://doi/org/10.2307/3668252
https://ipni.org/n/105731-1,lectotype,,_:ts000040,,https://doi/org/10.2307/3668252
https://ipni.org/n/105731-1,isotype,,_:ts000041,,https://doi/org/10.2307/3668252
https://ipni.org/n/105731-1,syntype,,_:ts000042,,https://doi/org/10.2307/3668252
https://ipni.org/n/105731-1,syntype,,_:ts000043,,https://doi/org/10.2307/3668252
https://ipni.org/n/105731-1,syntype,,_:ts000044,,https://doi/org/10.2307/3668252
