bibliographicResourceID,orderNumber,agentID,isEditor
https://doi.org/10.1002/tax.613003,1,https://orcid.org/0000-0002-6605-1770,false
https://doi.org/10.1002/tax.613003,2,https://orcid.org/0000-0003-1568-150X,false
https://doi.org/10.1002/tax.613003,3,https://ipni.org/a/20030162-1,false
https://doi.org/10.1002/tax.613003,4,_:b50,false
https://doi.org/10.1002/tax.613003,5,https://ipni.org/a/14414-1,false
https://doi.org/10.1002/tax.613003,6,https://orcid.org/0000-0003-3891-9904,false
https://doi.org/10.1002/tax.613003,7,https://orcid.org/0000-0002-9776-6736,false
https://doi.org/10.11646/phytotaxa.19.1.2,1,https://orcid.org/0000-0003-1398-8743,false
https://doi.org/10.11646/phytotaxa.19.1.2,2,https://orcid.org/0000-0003-3425-1011,false
https://doi.org/10.11646/phytotaxa.19.1.2,3,https://ipni.org/a/40553-1,false
https://doi.org/10.2307/25065646,1,https://ipni.org/a/9771-1,false
https://doi.org/10.2307/25065646,2,https://orcid.org/0000-0002-9776-6736,false
https://doi.org/10.2307/25065646,3,https://orcid.org/0000-0003-3891-9904,false
https://doi.org/10.2307/25065646,4,https://orcid.org/0000-0002-6677-5234,false
https://doi.org/10.2307/25065646,5,https://ipni.org/a/40553-1,false
https://doi.org/10.2307/25065646,6,_:b53,false
https://doi.org/10.1080/00837792.1977.10670077,1,https://ipni.org/a/7667-1,false
https://doi.org/10.2307/1217958,1,https://ipni.org/a/23960-1,false
